Start Time Sub A (s),End Time Sub A (s),Delay Sub A (ms),Start Time Sub B,End Time Sub B,Delay Sub B (ms)
16.925,16.941,16,16.925,16.959,34
17.097,17.132,35,17.097,17.120,23
17.271,17.285,14,17.271,17.301,30
17.409,17.428,19,17.409,17.440,31
17.558,17.574,16,17.558,17.585,27
17.703,17.719,16,17.703,17.739,36
17.865,17.885,20,17.866,17.906,40
18.036,18.052,16,18.036,18.075,39
18.233,18.249,16,18.234,18.258,24
18.377,18.388,11,18.377,18.401,24
18.505,18.519,14,18.506,18.530,24
18.635,18.646,11,18.636,18.656,20
18.768,18.779,11,18.769,18.790,21
18.906,18.918,12,18.906,18.929,23
19.049,19.059,10,19.049,19.071,22
19.207,19.221,14,19.209,19.233,24
19.342,19.354,12,19.342,19.365,23
19.471,19.485,14,19.471,19.503,32
19.635,19.648,13,19.636,19.665,29
19.827,19.846,19,19.828,19.864,36
20.01,20.022,12,20.01,20.037,27
20.162,20.179,17,20.163,20.196,33
20.303,20.319,16,20.308,20.336,28
20.462,20.477,15,20.462,20.497,35
20.612,20.624,12,20.613,20.634,21
20.78,20.798,18,20.781,20.813,32
20.961,20.975,14,20.961,20.997,36
21.136,21.147,11,21.136,21.158,22
21.27,21.282,12,21.27,21.293,23
21.397,21.410,13,21.398,21.421,23
21.554,21.569,15,21.555,21.583,28
21.702,21.719,17,21.703,21.733,30
21.871,21.890,19,21.875,21.906,31
22.035,22.054,19,22.035,22.065,30
22.181,22.198,17,22.182,22.210,28
22.323,22.340,17,22.323,22.351,28
22.489,22.508,19,22.49,22.520,30
22.636,22.653,17,22.637,22.670,33
22.814,22.832,18,22.814,22.842,28
23.003,23.021,18,23.004,23.034,30
23.173,23.187,14,23.174,23.203,29
23.318,23.338,20,23.319,23.354,35
23.476,23.488,12,23.476,23.499,23
23.65,23.668,18,23.651,23.688,37
23.835,23.848,13,23.835,23.862,27
23.97,23.983,13,23.97,23.997,27
24.135,24.153,18,24.135,24.163,28
24.286,24.303,17,24.287,24.320,33
24.447,24.459,12,24.447,24.472,25
24.609,24.627,18,24.609,24.642,33
24.775,24.789,14,24.775,24.8,25
24.924,24.946,22,24.927,24.956,29
25.099,25.113,14,25.099,25.123,24
25.249,25.271,22,25.25,25.283,33
25.406,25.421,15,25.406,25.434,28
25.585,25.601,16,25.585,25.612,27
25.75,25.767,17,25.751,25.783,32
25.964,25.977,13,25.964,25.991,27
26.108,26.124,16,26.109,26.141,32
26.328,26.344,16,26.329,26.359,30
26.482,26.495,13,26.483,26.507,24
26.637,26.65,13,26.637,26.664,27
26.828,26.849,21,26.828,26.862,34
26.972,26.995,23,26.976,27.011,35
27.14,27.154,14,27.141,27.173,32
27.273,27.286,13,27.273,27.3,27
27.432,27.447,15,27.432,27.463,31
27.579,27.592,13,27.58,27.611,31
27.739,27.755,16,27.739,27.768,29
